dataset,policy,workers,total_jobs,total_simulation_time,average_waiting_time,average_turnaround_time,throughput,worker_utilization,starvation_risk_jobs
jobs_100,SJF,230,100,126,0.00,16.64,0.794,5.74,0
jobs_100,Priority,230,100,126,0.00,16.64,0.794,5.74,0
jobs_100,FIFO,231,100,126,0.00,16.64,0.794,5.72,0
jobs_100,SJF,231,100,126,0.00,16.64,0.794,5.72,0
jobs_100,Priority,231,100,126,0.00,16.64,0.794,5.72,0
jobs_100,FIFO,232,100,126,0.00,16.64,0.794,5.69,0
jobs_100,SJF,232,100,126,0.00,16.64,0.794,5.69,0
jobs_100,Priority,232,100,126,0.00,16.64,0.794,5.69,0
jobs_100,FIFO,233,100,126,0.00,16.64,0.794,5.67,0
jobs_100,SJF,233,100,126,0.00,16.64,0.794,5.67,0
jobs_100,Priority,233,100,126,0.00,16.64,0.794,5.67,0
jobs_100,FIFO,234,100,126,0.00,16.64,0.794,5.64,0
jobs_100,SJF,234,100,126,0.00,16.64,0.794,5.64,0
jobs_100,Priority,234,100,126,0.00,16.64,0.794,5.64,0
jobs_100,FIFO,235,100,126,0.00,16.64,0.794,5.62,0
jobs_100,SJF,235,100,126,0.00,16.64,0.794,5.62,0
jobs_100,Priority,235,100,126,0.00,16.64,0.794,5.62,0
jobs_100,FIFO,236,100,126,0.00,16.64,0.794,5.60,0
jobs_100,SJF,236,100,126,0.00,16.64,0.794,5.60,0
jobs_100,Priority,236,100,126,0.00,16.64,0.794,5.60,0
jobs_100,FIFO,237,100,126,0.00,16.64,0.794,5.57,0
jobs_100,SJF,237,100,126,0.00,16.64,0.794,5.57,0
jobs_100,Priority,237,100,126,0.00,16.64,0.794,5.57,0
jobs_100,FIFO,238,100,126,0.00,16.64,0.794,5.55,0
jobs_100,SJF,238,100,126,0.00,16.64,0.794,5.55,0
jobs_100,Priority,238,100,126,0.00,16.64,0.794,5.55,0
jobs_100,FIFO,239,100,126,0.00,16.64,0.794,5.53,0
jobs_100,SJF,239,100,126,0.00,16.64,0.794,5.53,0
jobs_100,Priority,239,100,126,0.00,16.64,0.794,5.53,0
jobs_100,FIFO,240,100,126,0.00,16.64,0.794,5.50,0
jobs_100,SJF,240,100,126,0.00,16.64,0.794,5.50,0
jobs_100,Priority,240,100,126,0.00,16.64,0.794,5.50,0
jobs_100,FIFO,241,100,126,0.00,16.64,0.794,5.48,0
jobs_100,SJF,241,100,126,0.00,16.64,0.794,5.48,0
jobs_100,Priority,241,100,126,0.00,16.64,0.794,5.48,0
jobs_100,FIFO,242,100,126,0.00,16.64,0.794,5.46,0
jobs_100,SJF,242,100,126,0.00,16.64,0.794,5.46,0
jobs_100,Priority,242,100,126,0.00,16.64,0.794,5.46,0
jobs_100,FIFO,243,100,126,0.00,16.64,0.794,5.43,0
jobs_100,SJF,243,100,126,0.00,16.64,0.794,5.43,0
jobs_100,Priority,243,100,126,0.00,16.64,0.794,5.43,0
jobs_100,FIFO,244,100,126,0.00,16.64,0.794,5.41,0
jobs_100,SJF,244,100,126,0.00,16.64,0.794,5.41,0
jobs_100,Priority,244,100,126,0.00,16.64,0.794,5.41,0
jobs_100,FIFO,245,100,126,0.00,16.64,0.794,5.39,0
jobs_100,SJF,245,100,126,0.00,16.64,0.794,5.39,0
jobs_100,Priority,245,100,126,0.00,16.64,0.794,5.39,0
jobs_100,FIFO,246,100,126,0.00,16.64,0.794,5.37,0
jobs_100,SJF,246,100,126,0.00,16.64,0.794,5.37,0
jobs_100,Priority,246,100,126,0.00,16.64,0.794,5.37,0
jobs_100,FIFO,247,100,126,0.00,16.64,0.794,5.35,0
jobs_100,SJF,247,100,126,0.00,16.64,0.794,5.35,0
jobs_100,Priority,247,100,126,0.00,16.64,0.794,5.35,0
jobs_100,FIFO,248,100,126,0.00,16.64,0.794,5.33,0
jobs_100,SJF,248,100,126,0.00,16.64,0.794,5.33,0
jobs_100,Priority,248,100,126,0.00,16.64,0.794,5.33,0
jobs_100,FIFO,249,100,126,0.00,16.64,0.794,5.30,0
jobs_100,SJF,249,100,126,0.00,16.64,0.794,5.30,0
jobs_100,Priority,249,100,126,0.00,16.64,0.794,5.30,0
jobs_100,FIFO,250,100,126,0.00,16.64,0.794,5.28,0
jobs_100,SJF,250,100,126,0.00,16.64,0.794,5.28,0
jobs_100,Priority,250,100,126,0.00,16.64,0.794,5.28,0
jobs_100,FIFO,251,100,126,0.00,16.64,0.794,5.26,0
jobs_100,SJF,251,100,126,0.00,16.64,0.794,5.26,0
jobs_100,Priority,251,100,126,0.00,16.64,0.794,5.26,0
jobs_100,FIFO,252,100,126,0.00,16.64,0.794,5.24,0
jobs_100,SJF,252,100,126,0.00,16.64,0.794,5.24,0
jobs_100,Priority,252,100,126,0.00,16.64,0.794,5.24,0
jobs_100,FIFO,253,100,126,0.00,16.64,0.794,5.22,0
jobs_100,SJF,253,100,126,0.00,16.64,0.794,5.22,0
jobs_100,Priority,253,100,126,0.00,16.64,0.794,5.22,0
jobs_100,FIFO,254,100,126,0.00,16.64,0.794,5.20,0
jobs_100,SJF,254,100,126,0.00,16.64,0.794,5.20,0
jobs_100,Priority,254,100,126,0.00,16.64,0.794,5.20,0
jobs_100,FIFO,255,100,126,0.00,16.64,0.794,5.18,0
jobs_100,SJF,255,100,126,0.00,16.64,0.794,5.18,0
jobs_100,Priority,255,100,126,0.00,16.64,0.794,5.18,0
jobs_100,FIFO,256,100,126,0.00,16.64,0.794,5.16,0
jobs_100,SJF,256,100,126,0.00,16.64,0.794,5.16,0
jobs_100,Priority,256,100,126,0.00,16.64,0.794,5.16,0
jobs_100,FIFO,257,100,126,0.00,16.64,0.794,5.14,0
jobs_100,SJF,257,100,126,0.00,16.64,0.794,5.14,0
jobs_100,Priority,257,100,126,0.00,16.64,0.794,5.14,0
jobs_100,FIFO,258,100,126,0.00,16.64,0.794,5.12,0
jobs_100,SJF,258,100,126,0.00,16.64,0.794,5.12,0
jobs_100,Priority,258,100,126,0.00,16.64,0.794,5.12,0
jobs_100,FIFO,259,100,126,0.00,16.64,0.794,5.10,0
jobs_100,SJF,259,100,126,0.00,16.64,0.794,5.10,0
jobs_100,Priority,259,100,126,0.00,16.64,0.794,5.10,0
jobs_100,FIFO,260,100,126,0.00,16.64,0.794,5.08,0
jobs_100,SJF,260,100,126,0.00,16.64,0.794,5.08,0
jobs_100,Priority,260,100,126,0.00,16.64,0.794,5.08,0
jobs_100,FIFO,261,100,126,0.00,16.64,0.794,5.06,0
jobs_100,SJF,261,100,126,0.00,16.64,0.794,5.06,0
jobs_100,Priority,261,100,126,0.00,16.64,0.794,5.06,0
jobs_100,FIFO,262,100,126,0.00,16.64,0.794,5.04,0
jobs_100,SJF,262,100,126,0.00,16.64,0.794,5.04,0
jobs_100,Priority,262,100,126,0.00,16.64,0.794,5.04,0
jobs_100,FIFO,263,100,126,0.00,16.64,0.794,5.02,0
jobs_100,SJF,263,100,126,0.00,16.64,0.794,5.02,0
jobs_100,Priority,263,100,126,0.00,16.64,0.794,5.02,0
jobs_100,FIFO,264,100,126,0.00,16.64,0.794,5.00,0
jobs_100,SJF,264,100,126,0.00,16.64,0.794,5.00,0
jobs_100,Priority,264,100,126,0.00,16.64,0.794,5.00,0
jobs_100,FIFO,265,100,126,0.00,16.64,0.794,4.98,0
jobs_100,SJF,265,100,126,0.00,16.64,0.794,4.98,0
jobs_100,Priority,265,100,126,0.00,16.64,0.794,4.98,0
jobs_100,FIFO,266,100,126,0.00,16.64,0.794,4.96,0
jobs_100,SJF,266,100,126,0.00,16.64,0.794,4.96,0
jobs_100,Priority,266,100,126,0.00,16.64,0.794,4.96,0
jobs_100,FIFO,267,100,126,0.00,16.64,0.794,4.95,0
jobs_100,SJF,267,100,126,0.00,16.64,0.794,4.95,0
jobs_100,Priority,267,100,126,0.00,16.64,0.794,4.95,0
jobs_100,FIFO,268,100,126,0.00,16.64,0.794,4.93,0
jobs_100,SJF,268,100,126,0.00,16.64,0.794,4.93,0
jobs_100,Priority,268,100,126,0.00,16.64,0.794,4.93,0
jobs_100,FIFO,269,100,126,0.00,16.64,0.794,4.91,0
jobs_100,SJF,269,100,126,0.00,16.64,0.794,4.91,0
jobs_100,Priority,269,100,126,0.00,16.64,0.794,4.91,0
jobs_100,FIFO,270,100,126,0.00,16.64,0.794,4.89,0
jobs_100,SJF,270,100,126,0.00,16.64,0.794,4.89,0
jobs_100,Priority,270,100,126,0.00,16.64,0.794,4.89,0
